Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Production,,,,,,,,,,,,,
,,Jan 2017,Feb 2017,Mar 2017,Apr 2017,May 2017,Jun 2017,Jul 2017,Aug 2017,Sep 2017,Oct 2017,Nov 2017,Dec 2017
Alabama,AL,0.4477333333333333,0.4046333333333333,0.4478666666666667,0.4277666666666667,0.4410333333333333,0.4106333333333334,0.3784,0.4181,0.4046666666666667,0.4110333333333333,0.4010333333333334,0.4099333333333333
Alaska ,AK,1.034066666666667,0.9381666666666667,1.0448,1.012433333333333,1.0133,0.9169666666666667,0.8008333333333333,0.8142333333333334,0.9068333333333334,0.9845333333333334,0.992,1.021333333333333
Arizona,AZ,0.0001333333333333333,0.0001333333333333333,0.0001666666666666667,0.0001666666666666667,0.0001666666666666667,0.0001333333333333333,0.0001333333333333333,0.0001666666666666667,0.0001666666666666667,0.0001666666666666667,0.0001333333333333333,0.0001666666666666667
Arkansas,AR,2.0536,1.8637,2.0536,1.996833333333333,2.043966666666666,1.978866666666667,2.0204,1.9979,1.8856,1.9352,1.850366666666667,1.896333333333333
California,CA,0.5563666666666667,0.5211333333333333,0.5896,0.5760333333333333,0.5932,0.5743,0.6662333333333333,0.5852666666666667,0.5715,0.6105333333333334,0.5589,0.5745
Colorado,CO,4.7518,4.285133333333333,4.729333333333333,4.5398,4.606866666666667,4.463733333333334,4.656866666666667,4.765233333333334,4.6623,4.8992,4.731466666666667,5.021233333333333
Connecticut,CT,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,DE,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,DC,0,0,0,0,0,0,0,0,0,0,0,0
Florida,FL,0.001966666666666666,0.001766666666666667,0.002066666666666667,0.001933333333333333,0.002,0.001833333333333333,0.0019,0.002133333333333333,0.001833333333333333,0.002,0.002033333333333333,0.002166666666666667
Georgia,GA,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,HI,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,ID,0.0121,0.0116,0.01383333333333333,0.01233333333333333,0.01073333333333333,0.01013333333333333,0.0116,0.012,0.0083,0.008833333333333334,0.007666666666666666,0.007266666666666667
Illinois,IL,0.005766666666666666,0.0056,0.006066666666666666,0.0058,0.006066666666666666,0.005866666666666667,0.005966666666666667,0.006133333333333334,0.005333333333333333,0.005766666666666666,0.0061,0.006566666666666667
Indiana,IN,0.0172,0.01543333333333333,0.01726666666666667,0.01636666666666667,0.01633333333333333,0.0164,0.01726666666666667,0.01706666666666667,0.01386666666666667,0.01683333333333333,0.0165,0.01656666666666667
Iowa,IA,0,0,0,0,0,0,0,0,0,0,0,0
